datetime,option_symbol,action,order_size,day,expiration_date,sort_by
2024-01-02T19:53:27.895815619Z,SPX   240621C04880000,B,9,2024-01-02,2024-06-21,2024-01-02 19:53:27.895815619+00:00
2024-01-02T19:57:33.802139442Z,SPX   240119P04730000,S,119,2024-01-02,2024-01-19,2024-01-02 19:57:33.802139442+00:00
2024-01-02T20:09:28.749630443Z,SPX   240419P04500000,S,349,2024-01-02,2024-04-19,2024-01-02 20:09:28.749630443+00:00
2024-01-03T16:38:34.505742727Z,SPX   240315C04755000,S,17,2024-01-03,2024-03-15,2024-01-03 16:38:34.505742727+00:00
2024-01-03T18:51:17.101496129Z,SPX   240119P03775000,S,33,2024-01-03,2024-01-19,2024-01-03 18:51:17.101496129+00:00
2024-01-03T19:05:22.961969177Z,SPX   240315P04100000,S,168,2024-01-03,2024-03-15,2024-01-03 19:05:22.961969177+00:00
2024-01-03T19:30:44.601824224Z,SPX   240119C05000000,B,3270,2024-01-03,2024-01-19,2024-01-03 19:30:44.601824224+00:00
2024-01-04T15:16:11.207711924Z,SPX   240419P04800000,S,7,2024-01-04,2024-04-19,2024-01-04 15:16:11.207711924+00:00
2024-01-04T15:24:47.766551935Z,SPX   240119C04750000,S,42,2024-01-04,2024-01-19,2024-01-04 15:24:47.766551935+00:00
2024-01-04T20:50:06.375688741Z,SPX   241220C05450000,S,29,2024-01-04,2024-12-20,2024-01-04 20:50:06.375688741+00:00
2024-01-05T17:21:45.777109310Z,SPX   240119P04700000,S,72,2024-01-05,2024-01-19,2024-01-05 17:21:45.777109310+00:00
2024-01-05T20:22:45.047681709Z,SPX   240315C04725000,S,12,2024-01-05,2024-03-15,2024-01-05 20:22:45.047681709+00:00
2024-01-05T20:29:13.066408656Z,SPX   240315P04400000,S,513,2024-01-05,2024-03-15,2024-01-05 20:29:13.066408656+00:00
2024-01-05T20:57:45.710457173Z,SPX   240315P04800000,S,207,2024-01-05,2024-03-15,2024-01-05 20:57:45.710457173+00:00
2024-01-08T18:01:04.413492239Z,SPX   240119P04750000,B,400,2024-01-08,2024-01-19,2024-01-08 18:01:04.413492239+00:00
2024-01-08T18:10:04.537226866Z,SPX   240216C04780000,B,13,2024-01-08,2024-02-16,2024-01-08 18:10:04.537226866+00:00
2024-01-08T20:19:50.831097416Z,SPX   240119P04590000,B,962,2024-01-08,2024-01-19,2024-01-08 20:19:50.831097416+00:00
2024-01-08T20:42:47.119878070Z,SPX   240621P04050000,B,765,2024-01-08,2024-06-21,2024-01-08 20:42:47.119878070+00:00
2024-01-09T15:21:05.491072798Z,SPX   240621C04650000,S,13,2024-01-09,2024-06-21,2024-01-09 15:21:05.491072798+00:00
